타임스탬프,1. 성별,2. 연령대,3. 직업,4. 본인의 미술이나 미디어아트에 대한 사전 지식수준은 어느정도라고 생각하시나요?,5.  본 전시는 전시기획사  '미디어 앤 아트'가 기획하였습니다. 이를 알고 계셨나요?,6.  본 전시 이외에 전시기획사 '미디어 앤 아트'가 기획한 전시를 관람한 적이 있습니까?,6-1. 미디어 앤 아트의 전시 가운데 관람한 전시는 무엇인가요 (중복 응답 가능),1. 평소 전시 관람 빈도는 어떤가요?,2. 전시를 관람하는 주요 목적은 무엇인가요?,3. 전시 관람 시 누구와 함께 가나요?,4. 어떤 동기로 본 전시를 관람했나요?,5. 본 전시에 대한 정보를 얻게 된 경로는 무엇인가요?,"1.  Chapter 1.  ""이 이야기의 주인공은 한 명이거든""",2. 앞의 문항에서 선택한 전시물을 선호한 이유는 무엇인가요?,"3.  Chapter 2.  ""미안하지만 나는 원칙 따져가며 일 안 해.""",4. 앞의 문항에서 선택한 전시물을 선호한 이유는 무엇인가요?,"5.  Chapter 3.  ""오직 유미의 행복을 위해서, 포 유미!""",6. 앞의 문항에서 선택한 전시물을 선호한 이유는 무엇인가요?,1. 본 전시에 대한 전체 만족도는 어느정도 인가요?,2. 전시 중 만족스러웠던 점은 무엇인가요?,1. 원작 웹툰을 기반으로 한 전시의 스토리텔링 만족도,"2. 전시 작품 ""유미의 방""에 적용된 프로젝션 맵핑 만족도","3. 전시 작품 ""유미의 세포들""과 ""프라임 사랑 세포""에서 사용된 LG 디스플레이OLED 만족도","4. 전시 작품 ""프라임 작가세포""에 적용된 얼굴 감정인식 기술 만족도 (*거리두기 시행으로 기기를 이용 못하신 분은 본 항목을 넘겨주시기 바랍니다.)","5. 장소, 일정 등 관련 전시 정보 검색 편의성에 대한 만족도",6. 전시의 안전 및 관람 편의성에 대한 만족도,1. 전시 동선에 의한 피로 수준,2. 전시 관람객 밀도에 의한 피로 수준,"3. 전시에 적용된 디지털 디스플레이, 프로젝션 맵핑 등 테크놀로지로 인한 피로 수준",1. 아래의 보기 중 본 전시를 통해 느낀 감정이 있다면 무엇인가요? ,2. 본 전시에서 작품에 대한 몰입감을 느끼도록 한 요소는 무엇인가요?,1. 전시 만족도를 높이기 위해 보완할 것은 무엇인가요?,2. 본 전시를 재관람 할 의향이 있으신가요?,3. 본 전시를 주변 사람에게  추천할 의향이 있으신가요?,4. 본 전시를 관람한 시점이 코로나19(COVID-19)로 인한 사회적 거리두기 시행 이후 관람하셨나요?,5. 본 전시를 예약 후 관람 하셨나요?,6. COVID-19(코로나19)는 이번 전시 관람 의향에 영향을 미쳤나요?,7. COVID-19(코로나19)로 문화예술 향유의 빈도가 많이 줄었나요?,8. 본 전시를 관람하신 후 관람 경험을 주변에 공유할 의향이 있으신가요?,8-1. 전시 관람 경험을 공유하는 방법은 무엇인가요? ,<유미의 세포들> 전시 관람에 대해 느낀 점을 자유롭게 남겨주세요.
2020. 11. 3 오후 12:59:30,여성,20대,직장인,하,예,아니오,,거의 안감 (2년에 1회 정도),문화 예술과 관련한 여가 활동,친구,웹툰 '유미의 세포들'을 좋아해서,인스타그램,Ep 3. 이동건 작가,웹툰 '유미의 세포들'에 대한 내용 이해의 증진 및 정보 제공,"Ep 2. 사랑 세포 맵(구웅, 바비, 순록 출몰지역)",전시물 연출의 심미성 또는 예술성,Ep 2. 출출이의 세포깡 공장,전시물이 제공하는 오락적 즐거움과 재미,1,전시를 통해 새로운 이야기나 즐거운 상상력을 불러일으키는 엔터테인먼트적 요소,1,2,2,1,1,1,2,1,1,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,전시 챕터 별 내용 전개에 대한 이입,전시물 개수 추가,예,예,예,예,아니다,3,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",오랜만에 싱그러움을 느낄 수 있어 좋았습니다. 감사합니다. :)
2020. 11. 3 오후 1:02:46,여성,30대,직장인,중,아니오,아니오,,가끔 감 (연 3회 정도),문화 예술과 관련한 여가 활동,연인,웹툰 '유미의 세포들'을 좋아해서,인터넷 포털,Ep 2. 주인공 김유미,전시물에 대한 몰입적 경험,Ep 5. 유미의 방,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,Ep 3. 세포 감옥,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",1,전시를 통해 새로운 이야기나 즐거운 상상력을 불러일으키는 엔터테인먼트적 요소,1,1,2,1,1,2,1,1,2,인지성: 웹툰에 대한 이해 및 학습 정도가 향상됨을 느꼈다,전시 공간의 분위기와 환경,포토존 등 전시 공간 촬영 편의성,예,예,예,예,아니다,4,예,인터넷 커뮤니티 또는 게시판에 공유,
2020. 11. 3 오후 1:09:58,여성,20대,전문직,상,예,예,"신인상모네 : 시광영적예술전, 반 고흐 : 10년의 기록 展",가끔 감 (연 3회 정도),문화 예술과 관련한 여가 활동,친구,웹툰 '유미의 세포들'을 좋아해서,인터넷 포털,Ep 0. 유미의 세포들 특별전,전시물이 제공하는 오락적 즐거움과 재미,Ep 5. 유미의 방,전시물 연출의 심미성 또는 예술성,Ep 2. 출출이의 세포깡 공장,전시물이 제공하는 오락적 즐거움과 재미,1,디지털 디스플레이 형식의 작품,1,1,1,1,1,1,1,1,1,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,기존 웹툰의 스토리 연계에 의한 감정이입,전시물 개수 추가,예,예,예,예,그렇다,5,예,스마트폰 메신저 (카카오톡 등)을 통해 공유,잘봤어요
2020. 11. 3 오후 1:15:21,여성,20대,직장인,중,예,아니오,,관람하지 않는다 (non visitor),개인적인 관심과 호기심의 해결을 위해,친구,웹툰 '유미의 세포들'을 좋아해서,친구 또는 지인 등에 의한 공유,Ep 0. 유미의 세포들 특별전,전시물이 제공하는 오락적 즐거움과 재미,Ep 5. 유미의 방,전시물 연출의 심미성 또는 예술성,Ep 2. 출출이의 세포깡 공장,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,1,전시를 통해 새로운 이야기나 즐거운 상상력을 불러일으키는 엔터테인먼트적 요소,1,1,1,1,1,1,1,1,1,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,전시 공간의 분위기와 환경,뮤지엄 샵의 굿즈,예,예,예,예,그렇다,1,예,대화를 통해 공유,
2020. 11. 3 오후 1:20:31,여성,20대,학생,하,아니오,아니오,,거의 안감 (2년에 1회 정도),문화 예술과 관련한 여가 활동,연인,웹툰 '유미의 세포들'을 좋아해서,인스타그램,Ep 3. 이동건 작가,전시물에 대한 몰입적 경험,Ep 1. 프라임 사랑 세포,전시물이 제공하는 오락적 즐거움과 재미,Ep 2. 출출이의 세포깡 공장,전시물이 제공하는 오락적 즐거움과 재미,4,웹툰 '유미의 세포들'을 기반으로한 전시만의 새로운 해석 및 스토리텔링,5,3,5,2,5,5,3,1,1,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,기존 웹툰의 스토리 연계에 의한 감정이입,전시물 개수 추가,아니오,예,예,예,아니다,4,예,스마트폰 메신저 (카카오톡 등)을 통해 공유,
2020. 11. 3 오후 1:59:23,여성,20대,기타,중,예,아니오,,거의 안감 (2년에 1회 정도),문화 예술과 관련한 여가 활동,친구,웹툰 '유미의 세포들'을 좋아해서,인터넷 포털,Ep 2. 주인공 김유미,전시물에 대한 몰입적 경험,Ep 1. 프라임 사랑 세포,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",Ep 2. 출출이의 세포깡 공장,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,1,전시를 통해 새로운 이야기나 즐거운 상상력을 불러일으키는 엔터테인먼트적 요소,1,2,1,1,1,2,1,2,1,"현존감: 전시물이 현존하는 것처럼 느껴졌으며, 전시물 세계관 안에 내가 존재하고 있다고 느꼈다",전시 공간의 분위기와 환경,포토존 등 전시 공간 촬영 편의성,예,예,예,예,그렇다,5,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",귀여워서 행복했어요:)!
2020. 11. 3 오후 2:03:12,여성,20대,전문직,중,아니오,아니오,,가끔 감 (연 3회 정도),친구나 지인과의 시간 보내기,친구,웹툰 '유미의 세포들'을 좋아해서,친구 또는 지인 등에 의한 공유,Ep 3. 이동건 작가,웹툰 '유미의 세포들'에 대한 내용 이해의 증진 및 정보 제공,"Ep 2. 사랑 세포 맵(구웅, 바비, 순록 출몰지역)",전시물이 제공하는 오락적 즐거움과 재미,Ep 3. 세포 감옥,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",1,작품에 접근이 용이한 관람객 친화적 전시 환경,1,1,1,1,3,1,1,1,1,인지성: 웹툰에 대한 이해 및 학습 정도가 향상됨을 느꼈다,기존 웹툰의 스토리 연계에 의한 감정이입,전시 스토리텔링,예,예,예,예,아니다,4,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",
2020. 11. 3 오후 2:06:26,여성,20대,학생,하,아니오,예,반 고흐 인사이드,거의 안감 (2년에 1회 정도),의미 있는 사회 활동에 참여,친구,평소 인터렉티브 또는 미디어 전시에 관심이 많아서,카카오스토리,Ep 0. 유미의 세포들 특별전,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,Ep 1. 프라임 사랑 세포,전시물 연출의 심미성 또는 예술성,Ep 2. 출출이의 세포깡 공장,전시물 연출의 심미성 또는 예술성,3,프로젝션 맵핑 형식의 작품,2,3,5,5,5,5,2,3,3,"현존감: 전시물이 현존하는 것처럼 느껴졌으며, 전시물 세계관 안에 내가 존재하고 있다고 느꼈다",대형 디지털 디스플레이,오디오 가이드 및 스마트 폰 애플리케이션 등의 해석 매체,예,예,예,예,그렇다,2,아니오,전화나 문자를 통해 공유,
2020. 11. 3 오후 2:16:22,여성,10대,학생,하,아니오,아니오,,가끔 감 (연 3회 정도),개인적인 관심과 호기심의 해결을 위해,동료,웹툰 '유미의 세포들'을 좋아해서,친구 또는 지인 등에 의한 공유,Ep 0. 유미의 세포들 특별전,전시물 연출의 심미성 또는 예술성,Ep 1. 프라임 사랑 세포,전시물 연출의 심미성 또는 예술성,Ep 2. 출출이의 세포깡 공장,웹툰 '유미의 세포들'에 대한 내용 이해의 증진 및 정보 제공,1,디지털 디스플레이 형식의 작품,1,1,1,1,5,1,1,1,1,분리감: 전시 관람 시간이 실제 시간보다 짧게 느껴졌다,기존 웹툰의 스토리 연계에 의한 감정이입,전시 스토리텔링,예,예,예,예,아니다,1,예,전화나 문자를 통해 공유,"쟈미있었디
"
2020. 11. 3 오후 2:20:48,여성,10대,학생,중,아니오,아니오,,가끔 감 (연 3회 정도),문화 예술과 관련한 여가 활동,동료,웹툰 '유미의 세포들'을 좋아해서,그냥 광고,Ep 1. 유미의 세포들,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",Ep 4. 추억 렌트샵,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",Ep 2. 출출이의 세포깡 공장,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",1,"사진 촬영 등, SNS에 후기를 공유하기 용이한 환경",1,1,1,1,1,1,1,1,1,인지성: 웹툰에 대한 이해 및 학습 정도가 향상됨을 느꼈다,기존 웹툰의 스토리 연계에 의한 감정이입,뮤지엄 샵의 굿즈,예,예,예,예,아니다,1,예,"틱톡, 인스타그램 스토리 등 숏폼 영상 SNS에 공유",울컥하네요ㅠㅠ
2020. 11. 3 오후 2:43:32,여성,20대,학생,중,예,아니오,,정기적으로 감 (연 6회 정도),개인적인 관심과 호기심의 해결을 위해,지인,여가 시간을 보내기 위해,인터넷 포털,Ep 0. 유미의 세포들 특별전,전시물이 제공하는 오락적 즐거움과 재미,Ep 4. 추억 렌트샵,전시물이 제공하는 오락적 즐거움과 재미,Ep 3. 세포 감옥,전시물이 제공하는 오락적 즐거움과 재미,4,전시물 배치와 공간의 연출 방식,4,3,4,3,4,4,2,3,3,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,전시 공간에 설치된 대형 조형물,포토존 등 전시 공간 촬영 편의성,예,예,예,예,아니다,2,예,"틱톡, 인스타그램 스토리 등 숏폼 영상 SNS에 공유",
2020. 11. 3 오후 3:17:10,여성,20대,학생,중,아니오,아니오,,가끔 감 (연 3회 정도),개인적인 관심과 호기심의 해결을 위해,연인,웹툰 '유미의 세포들'을 좋아해서,인터넷 포털,Ep 2. 주인공 김유미,웹툰 '유미의 세포들'에 대한 내용 이해의 증진 및 정보 제공,Ep 1. 프라임 사랑 세포,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",Ep 2. 출출이의 세포깡 공장,전시물에 대한 몰입적 경험,1,웹툰 '유미의 세포들'을 기반으로한 전시만의 새로운 해석 및 스토리텔링,1,1,1,1,1,1,1,3,1,"현존감: 전시물이 현존하는 것처럼 느껴졌으며, 전시물 세계관 안에 내가 존재하고 있다고 느꼈다",기존 웹툰의 스토리 연계에 의한 감정이입,전시물 개수 추가,예,예,예,예,그렇다,4,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",
2020. 11. 3 오후 3:35:20,남성,20대,직장인,하,아니오,아니오,,거의 안감 (2년에 1회 정도),개인적인 관심과 호기심의 해결을 위해,친구,웹툰 '유미의 세포들'을 좋아해서,인스타그램,Ep 0. 유미의 세포들 특별전,전시물이 제공하는 오락적 즐거움과 재미,"Ep 2. 사랑 세포 맵(구웅, 바비, 순록 출몰지역)",전시물이 제공하는 오락적 즐거움과 재미,Ep 1. 응큼이 특강,전시물이 제공하는 오락적 즐거움과 재미,1,"사진 촬영 등, SNS에 후기를 공유하기 용이한 환경",1,2,1,2,2,1,3,3,3,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,전시 챕터 별 내용 전개에 대한 이입,포토존 등 전시 공간 촬영 편의성,예,예,예,예,그렇다,3,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",또 해주세요
2020. 11. 3 오후 3:37:48,여성,20대,직장인,상,예,아니오,,가끔 감 (연 3회 정도),문화 예술과 관련한 여가 활동,지인,여가 시간을 보내기 위해,인터넷 포털,Ep 0. 유미의 세포들 특별전,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,Ep 1. 프라임 사랑 세포,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,Ep 1. 응큼이 특강,전시물이 제공하는 오락적 즐거움과 재미,5,웹툰 '유미의 세포들'을 기반으로한 전시만의 새로운 해석 및 스토리텔링,5,1,1,3,5,5,2,1,2,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,전시 공간의 분위기와 환경,뮤지엄 샵의 굿즈,예,예,예,예,그렇다,5,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",
2020. 11. 3 오후 3:41:25,여성,20대,학생,중,아니오,아니오,,거의 안감 (2년에 1회 정도),문화 예술과 관련한 여가 활동,친구,여가 시간을 보내기 위해,친구 또는 지인 등에 의한 공유,Ep 0. 유미의 세포들 특별전,상상력을 충족시킬 수 있는 웹툰 요소의 재구성,"Ep 2. 사랑 세포 맵(구웅, 바비, 순록 출몰지역)",전시물에 대한 몰입적 경험,Ep 2. 출출이의 세포깡 공장,"전시물 터치나 참여를 통해 느낀 공감각적, 입체적 경험",4,"사진 촬영 등, SNS에 후기를 공유하기 용이한 환경",4,2,4,3,4,4,2,2,2,정서적 풍요로움: 전시를 관람하며 감성이 풍부해졌다,전시 공간에 설치된 대형 조형물,전시물 개수 추가,예,예,예,예,그렇다,4,예,"틱톡, 인스타그램 스토리 등 숏폼 영상 SNS에 공유",조아요
2020. 11. 3 오후 3:42:15,여성,20대,학생,하,아니오,아니오,,가끔 감 (연 3회 정도),개인적인 관심과 호기심의 해결을 위해,친구,웹툰 '유미의 세포들'을 좋아해서,친구 또는 지인 등에 의한 공유,Ep 1. 유미의 세포들,전시물에 구현된 테크놀로지적 특성,Ep 1. 프라임 사랑 세포,전시물이 제공하는 오락적 즐거움과 재미,Ep 2. 출출이의 세포깡 공장,전시물에 적용된 기술적 특성,4,웹툰 '유미의 세포들'을 기반으로한 전시만의 새로운 해석 및 스토리텔링,4,2,5,5,4,4,1,1,1,"현존감: 전시물이 현존하는 것처럼 느껴졌으며, 전시물 세계관 안에 내가 존재하고 있다고 느꼈다",얼굴 감정인식 하여 결과가 반영된 출력물,전시물 개수 추가,아니오,예,예,예,아니다,4,예,"인스타그램, 페이스북, 트위터 등 피드형 SNS에 공유",
