2019-09-29 21.18.18 2143620498159075611_대림미술관.jpg;오늘 날씨두 좋구하여 윗동네로 마실#9월의마지막주말 #대림미술관 #하이메아욘 #SERIOUSFUN
2019-09-29 21.50.10 2143636533151102902_대림미술관.jpg;오랜만에 언니랑 데이트💕#하이메아욘 #대림미술관 #악뮤청음회 #사람구경 하나도 안 들려서 결국 VLIVE로 봤네 =__=
2019-09-29 21.50.10 2143636533159416343_대림미술관.jpg;오랜만에 언니랑 데이트💕#하이메아욘 #대림미술관 #악뮤청음회 #사람구경 하나도 안 들려서 결국 VLIVE로 봤네 =__=
2019-09-29 21.50.10 2143636536347189913_대림미술관.jpg;오랜만에 언니랑 데이트💕#하이메아욘 #대림미술관 #악뮤청음회 #사람구경 하나도 안 들려서 결국 VLIVE로 봤네 =__=
2019-09-29 21.59.12 2143641086856534647_대림미술관.jpg;#대림미술관#하이메아욘전시 트라팔가르의체스경기 작품을 보러오랜만에 미술관(9월 마지막주에 여름날씨😇)
2019-09-29 22.01.48 2143642394734079003_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394750636825_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394759188100_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394767542918_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394775871101_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394784397773_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394809353463_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642394826306301_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.01.48 2143642397384885560_대림미술관.jpg;다시 여름으로 돌아간 것 같은 오늘!지인찬스로 #대림미술관#하이메아욘숨겨진일곱가지사연 전시를 보러갔다#seriousfun 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고... 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다.#서울나들이#미술관나들이#미술관데이트 #서촌미술관#문화생활#주말일상#아이와함께
2019-09-29 22.03.43 2143643350362832895_대림미술관.jpg;#프로모션 #종로 #대림미술관 #하이메이욘
2019-09-29 22.03.43 2143643350371292397_대림미술관.jpg;#프로모션 #종로 #대림미술관 #하이메이욘
2019-09-29 22.03.43 2143643350396511732_대림미술관.jpg;#프로모션 #종로 #대림미술관 #하이메이욘
2019-09-29 22.03.43 2143643350413279423_대림미술관.jpg;#프로모션 #종로 #대림미술관 #하이메이욘
2019-09-29 22.03.43 2143643350421724628_대림미술관.jpg;#프로모션 #종로 #대림미술관 #하이메이욘
2019-09-29 22.03.43 2143643354901163573_대림미술관.jpg;#프로모션 #종로 #대림미술관 #하이메이욘
2019-09-29 22.22.22 2143652741694942654_대림미술관.jpg;#대림미술관#하이메아욘 귀욥☺ 10월휴가 잘다녀올께요
2019-09-29 22.26.10 2143654658719480595_대림미술관.jpg;#카페#대림미술관#대림미술관카페#아이스아메리카노#쵸콜렛무스#아이스크림#내친구
2019-09-29 22.26.10 2143654658744542890_대림미술관.jpg;#카페#대림미술관#대림미술관카페#아이스아메리카노#쵸콜렛무스#아이스크림#내친구
2019-09-29 22.26.10 2143654658753023537_대림미술관.jpg;#카페#대림미술관#대림미술관카페#아이스아메리카노#쵸콜렛무스#아이스크림#내친구
2019-09-29 22.26.10 2143654658761380669_대림미술관.jpg;#카페#대림미술관#대림미술관카페#아이스아메리카노#쵸콜렛무스#아이스크림#내친구
2019-09-29 22.26.10 2143654661168915680_대림미술관.jpg;#카페#대림미술관#대림미술관카페#아이스아메리카노#쵸콜렛무스#아이스크림#내친구
2019-09-29 22.31.40 2143657419812966839_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657419821489675_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657419838287940_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657419846632922_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657419863332725_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657419871654334_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657419871852939_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.40 2143657422371524021_대림미술관.jpg;#대림미술관#하이메아욘#데이트#아들과#제법#대화되는#친구#귀요미
2019-09-29 22.31.48 2143657493659031200_대림미술관.jpg;#대림미술관 #휴일끝 #하늘맑음
2019-09-29 22.31.48 2143657493667406956_대림미술관.jpg;#대림미술관 #휴일끝 #하늘맑음
2019-09-29 22.31.48 2143657493684132170_대림미술관.jpg;#대림미술관 #휴일끝 #하늘맑음
2019-09-29 22.31.48 2143657493684282115_대림미술관.jpg;#대림미술관 #휴일끝 #하늘맑음
2019-09-29 22.31.59 2143657580362066836_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657580378864886_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657580403886401_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657580412398601_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657580454280885_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657580462609808_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657580680710542_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.31.59 2143657584464018170_대림미술관.jpg;오전에 #대림미술관 #하이메아욘디자인전 관람세 집 아이들은 언제 만나도 여전히 낯가림을 하는~~~ 울집 남매들에게 어울리지 않는 분위기 ㅋㅋㅋ#김현지샘과 관람 후 #표현작품 해보기귤양은 도자기가 아닌 토깽이를^^도윤군은 도자기를~~ 빛에 비치는 그림자의 모습이 멋스럽군~~^^ #청소년배우김도윤 #아이돌지망생김규리 #즐거운미술관탐방
2019-09-29 22.34.40 2143658930490998065_대림미술관.jpg;심심해서 인터파크티켓 들어가보니 대림미술관< 하이메 아욘 숨겨진 일곱 가지 사연> 급! 할인으로 계획에 없던 전시회 보러ㅎㅎ정가주고 봤으면 큰일날뻔.......😅😅그래도 평소에 보던 전시랑 달라 좋네ㅎㅎ#대림미술관 #하이메아욘숨겨진일곱가지사연 #전시회 #인터파크티켓 #할인 #가방을보관함에넣고못열어서도움받음😫
2019-09-29 22.34.40 2143658930499322484_대림미술관.jpg;심심해서 인터파크티켓 들어가보니 대림미술관< 하이메 아욘 숨겨진 일곱 가지 사연> 급! 할인으로 계획에 없던 전시회 보러ㅎㅎ정가주고 봤으면 큰일날뻔.......😅😅그래도 평소에 보던 전시랑 달라 좋네ㅎㅎ#대림미술관 #하이메아욘숨겨진일곱가지사연 #전시회 #인터파크티켓 #할인 #가방을보관함에넣고못열어서도움받음😫
2019-09-29 22.34.40 2143658930516004873_대림미술관.jpg;심심해서 인터파크티켓 들어가보니 대림미술관< 하이메 아욘 숨겨진 일곱 가지 사연> 급! 할인으로 계획에 없던 전시회 보러ㅎㅎ정가주고 봤으면 큰일날뻔.......😅😅그래도 평소에 보던 전시랑 달라 좋네ㅎㅎ#대림미술관 #하이메아욘숨겨진일곱가지사연 #전시회 #인터파크티켓 #할인 #가방을보관함에넣고못열어서도움받음😫
2019-09-29 22.34.40 2143658930532922016_대림미술관.jpg;심심해서 인터파크티켓 들어가보니 대림미술관< 하이메 아욘 숨겨진 일곱 가지 사연> 급! 할인으로 계획에 없던 전시회 보러ㅎㅎ정가주고 봤으면 큰일날뻔.......😅😅그래도 평소에 보던 전시랑 달라 좋네ㅎㅎ#대림미술관 #하이메아욘숨겨진일곱가지사연 #전시회 #인터파크티켓 #할인 #가방을보관함에넣고못열어서도움받음😫
2019-09-29 22.34.40 2143658934433485182_대림미술관.jpg;심심해서 인터파크티켓 들어가보니 대림미술관< 하이메 아욘 숨겨진 일곱 가지 사연> 급! 할인으로 계획에 없던 전시회 보러ㅎㅎ정가주고 봤으면 큰일날뻔.......😅😅그래도 평소에 보던 전시랑 달라 좋네ㅎㅎ#대림미술관 #하이메아욘숨겨진일곱가지사연 #전시회 #인터파크티켓 #할인 #가방을보관함에넣고못열어서도움받음😫
2019-09-29 22.49.36 2143666448738826476_대림미술관.jpg;아무 생각없이 갔다가 만난 재밌는 전시💕이런 위트있고 예쁜 작품들 너무 좋잖아💕💕 잠투정 따님 덕분에 10분컷 했지만그래도 좋았네.#서촌데이트#대림미술관#하이메아욘#숨겨진일곱가지사연#jaimehayon#seriousfun
2019-09-29 22.49.36 2143666448747214582_대림미술관.jpg;아무 생각없이 갔다가 만난 재밌는 전시💕이런 위트있고 예쁜 작품들 너무 좋잖아💕💕 잠투정 따님 덕분에 10분컷 했지만그래도 좋았네.#서촌데이트#대림미술관#하이메아욘#숨겨진일곱가지사연#jaimehayon#seriousfun
2019-09-29 22.49.36 2143666448772596550_대림미술관.jpg;아무 생각없이 갔다가 만난 재밌는 전시💕이런 위트있고 예쁜 작품들 너무 좋잖아💕💕 잠투정 따님 덕분에 10분컷 했지만그래도 좋았네.#서촌데이트#대림미술관#하이메아욘#숨겨진일곱가지사연#jaimehayon#seriousfun
2019-09-29 22.49.36 2143666448789232808_대림미술관.jpg;아무 생각없이 갔다가 만난 재밌는 전시💕이런 위트있고 예쁜 작품들 너무 좋잖아💕💕 잠투정 따님 덕분에 10분컷 했지만그래도 좋았네.#서촌데이트#대림미술관#하이메아욘#숨겨진일곱가지사연#jaimehayon#seriousfun
2019-09-29 22.49.36 2143666451909891133_대림미술관.jpg;아무 생각없이 갔다가 만난 재밌는 전시💕이런 위트있고 예쁜 작품들 너무 좋잖아💕💕 잠투정 따님 덕분에 10분컷 했지만그래도 좋았네.#서촌데이트#대림미술관#하이메아욘#숨겨진일곱가지사연#jaimehayon#seriousfun
2019-09-29 22.49.49 2143666559175032765_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559183240149_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559191797669_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559200039333_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559208446580_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559233808226_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559242030565_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666559258978811_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 22.49.49 2143666561976872235_대림미술관.jpg;봐도 잘..갬성이 부족한가봄#여행 #서울 #인싸 #대림미술관 #하이메아욘 #광화문 #경복궁
2019-09-29 23.02.19 2143672853702485769_대림미술관.jpg;할머니 여기서 이러시면 안된다던데_#전시회 #하이메아욘 #숨겨진일곱가지사연 #대림미술관 #옆에카페 #미술관옆집 #커피안마셨음
